name,brand,category_id,cpu,gpu,ram,storage,camera,battery,screen,release_year,price,image_url,source_data
Xiaomi Poco F8 Ultra,Xiaomi,1,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Adreno 840,12GB,256GB,N/A,N/A,"6.9 inches, 116.6 cm2 (~91.8% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_poco_f8_ultra_5g-14301.php
Xiaomi Poco F8 Pro,Xiaomi,1,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Adreno 830,12GB,256GB,N/A,N/A,"6.59 inches, 106.5 cm2 (~89.8% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_poco_f8_pro_5g-14303.php
Xiaomi Poco Pad X1,Xiaomi,1,Qualcomm SM7675-AB Snapdragon 7+ Gen 3 (4 nm),Adreno 732,8GB,256GB,N/A,N/A,"11.2 inches, 373.7 cm2 (~85.8% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-pad-x1.jpg,https://www.gsmarena.com/xiaomi_poco_pad_x1-14306.php
Xiaomi Poco Pad M1,Xiaomi,1,Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),Adreno 810,8GB,256GB,N/A,N/A,"12.1 inches, 424.5 cm2 (~83.5% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-pad-m1-n.jpg,https://www.gsmarena.com/xiaomi_poco_pad_m1-14285.php
Xiaomi Black Shark GS3 Ultra,Xiaomi,1,N/A,N/A,N/A,N/A,N/A,N/A,1.43 inches,2025,0,,https://www.gsmarena.com/xiaomi_black_shark_gs3_ultra-14309.php
Xiaomi Redmi K90,Xiaomi,1,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Adreno 830,12GB,256GB,N/A,N/A,"6.59 inches, 106.5 cm2 (~89.8% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-90.jpg,https://www.gsmarena.com/xiaomi_redmi_k90_5g-14280.php
Xiaomi Redmi K90 Pro Max,Xiaomi,1,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Adreno 840,12GB,256GB,N/A,N/A,"6.9 inches, 116.6 cm2 (~91.8% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-k90-pro-max.jpg,https://www.gsmarena.com/xiaomi_redmi_k90_pro_max_5g-14252.php
Unknown,Xiaomi,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/xiaomi_redmi_watch_6-14281.php
Xiaomi 17 Pro Max,Xiaomi,1,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Adreno 840,12GB,512GB,N/A,N/A,"6.9 inches, 116.6 cm2 (~92.3% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_17_pro_max_5g-14181.php
Unknown,Xiaomi,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/xiaomi_17_pro_5g-14182.php
Xiaomi 17,Xiaomi,1,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Adreno 840,12GB,256GB,N/A,N/A,"6.3 inches, 97.1 cm2 (~89.5% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_17_5g-14134.php
Xiaomi Black Shark Pad 7 Pro,Xiaomi,1,Mediatek Helio G100 (6 nm),Mali-G57 MC2,8GB,256GB,N/A,N/A,"11.0 inches, 352.4 cm2",2025,0,,https://www.gsmarena.com/xiaomi_black_shark_pad_7_pro-14308.php
Unknown,Xiaomi,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/xiaomi_black_shark_pad_7-14307.php
Unknown,Xiaomi,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/xiaomi_pad_8_pro-14183.php
Xiaomi Pad 8,Xiaomi,1,Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),Adreno 825,8GB,128GB,N/A,N/A,"11.2 inches, 373.7 cm2 (~85.8% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_pad_8-14184.php
Xiaomi 15T Pro,Xiaomi,1,Mediatek Dimensity 9400+ (3 nm),Immortalis-G925,12GB,256GB,N/A,N/A,"6.83 inches, 114.5 cm2 (~90.4% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_15t_pro_5g-14178.php
Xiaomi 15T,Xiaomi,1,Mediatek Dimensity 8400 Ultra (4 nm),Mali-G720 MC7,12GB,256GB,N/A,N/A,"6.83 inches, 114.5 cm2 (~90.0% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_15t_5g-14177.php
Xiaomi Redmi Pad 2 Pro,Xiaomi,1,Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),Adreno 810,6GB,128GB,N/A,N/A,"12.1 inches, 424.5 cm2 (~83.5% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_redmi_pad_2_pro-14174.php
Xiaomi Pad Mini,Xiaomi,1,Mediatek Dimensity 9400+ (3 nm),Immortalis-G925,8GB,256GB,N/A,N/A,"8.8 inches, 224.5 cm2 (~82.9% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_pad_mini-14179.php
Xiaomi Redmi 15C,Xiaomi,1,Mediatek Dimensity 6300 (6 nm),Mali-G57 MC2,4GB,128GB,N/A,N/A,"6.9 inches, 114.9 cm2 (~81.8% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_redmi_15c_5g-14039.php
Oppo A6x,Oppo,1,Mediatek Dimensity 6300 (6 nm),Mali-G57 MC2,4GB,64GB,N/A,N/A,"6.75 inches, 111.4 cm2 (~85.2% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_a6x_5g-14321.php
Oppo A6x 4G,Oppo,1,Qualcomm SM6225 Snapdragon 685 (6 nm),Adreno 610,4GB,64GB,N/A,N/A,"6.75 inches, 111.4 cm2 (~85.2% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6x-.jpg,https://www.gsmarena.com/oppo_a6x-14322.php
Oppo Reno15 Pro,Oppo,1,Mediatek Dimensity 8450 (4 nm),Mali-G720 MC7,12GB,256GB,N/A,N/A,"6.78 inches, 112.4 cm2 (~91.2% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_reno15_pro_5g-14286.php
Unknown,Oppo,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/oppo_reno15_5g-14288.php
Oppo Find X9 Pro,Oppo,1,Mediatek Dimensity 9500 (3 nm),Arm G1-Ultra,12GB,256GB,N/A,N/A,"6.78 inches, 112.4 cm2 (~91.1% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_find_x9_pro-14094.php
Oppo Find X9,Oppo,1,Mediatek Dimensity 9500 (3 nm),Arm G1-Ultra,12GB,256GB,N/A,N/A,"6.59 inches, 105.6 cm2 (~91.0% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x9.jpg,https://www.gsmarena.com/oppo_find_x9_5g-14235.php
Oppo Pad 5,Oppo,1,Mediatek Dimensity 9400+ (3 nm),Immortalis-G925,8GB,128GB,N/A,N/A,"12.1 inches, 445.2 cm2 (~86.2% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_pad_5-14236.php
Oppo Watch S,Oppo,1,Qualcomm Snapdragon W5 Gen 1 (4 nm),N/A,N/A,4GB,N/A,N/A,1.46 inches,2025,0,,https://www.gsmarena.com/oppo_watch_s-14237.php
Oppo A6 Pro,Oppo,1,Mediatek Dimensity 6300 (6 nm),Mali-G57 MC2,6GB,128GB,N/A,N/A,"6.57 inches, 105.0 cm2 (~88.5% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_a6_pro_5g-14171.php
Oppo A6 Pro 4G,Oppo,1,Mediatek Helio G100 (6 nm),Mali-G57 MC2,8GB,128GB,N/A,N/A,"6.57 inches, 105.0 cm2 (~88.5% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6-pro-4g.jpg,https://www.gsmarena.com/oppo_a6_pro-14170.php
Oppo F31 Pro+,Oppo,1,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Adreno 720,8GB,256GB,N/A,N/A,"6.8 inches, 112.8 cm2 (~89.1% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_f31_pro+_5g-14148.php
Oppo F31 Pro,Oppo,1,Mediatek Dimensity 7300 (4 nm),Mali-G615 MC2,8GB,128GB,N/A,N/A,"6.57 inches, 105.0 cm2 (~88.5% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_f31_pro_5g-14149.php
Oppo F31,Oppo,1,Mediatek Dimensity 6300 (6 nm),Mali-G57 MC2,8GB,128GB,N/A,N/A,"6.57 inches, 105.0 cm2 (~88.5% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_f31_5g-14248.php
Oppo A6 GT,Oppo,1,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Adreno 720,8GB,256GB,N/A,N/A,"6.8 inches, 112.8 cm2 (~89.1% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_a6_gt_5g-14135.php
Oppo A6 Pro (China),Oppo,1,Mediatek Dimensity 7300 (4 nm),Mali-G615 MC2,8GB,256GB,N/A,N/A,"6.57 inches, 105.0 cm2 (~88.5% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_a6_pro_5g_(china)-14129.php
Oppo A6 Max,Oppo,1,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Adreno 720,8GB,256GB,N/A,N/A,"6.8 inches, 112.8 cm2",2025,0,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6-max-.jpg,https://www.gsmarena.com/oppo_a6_max_5g-14108.php
Oppo K13 Turbo,Oppo,1,Mediatek Dimensity 8450 (4 nm),Mali-G720 MC7,8GB,128GB,N/A,N/A,"6.8 inches, 112.8 cm2 (~89.8% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/oppo-k13-turbo-.jpg,https://www.gsmarena.com/oppo_k13_turbo_5g-14022.php
Unknown,Oppo,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/oppo_k13_turbo_pro_5g-14013.php
Oppo Reno14 F,Oppo,1,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Adreno 710,8GB,256GB,N/A,N/A,"6.57 inches, 105.0 cm2 (~88.6% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_reno14_f_5g-13977.php
Oppo K13x,Oppo,1,Mediatek Dimensity 6300 (6 nm),Mali-G57 MC2,4GB,128GB,N/A,N/A,"6.67 inches, 107.2 cm2 (~84.9% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_k13x_5g-13978.php
vivo Y500 Pro,Vivo,1,Mediatek Dimensity 7400 (4 nm),Mali-G615 MC2,8GB,128GB,N/A,N/A,"6.67 inches, 107.4 cm2 (~90.0% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/vivo_y500_pro_5g_(china)-14278.php
vivo Y19s,Vivo,1,Mediatek Dimensity 6300 (6 nm),Mali-G57 MC2,4GB,64GB,N/A,N/A,"6.74 inches, 109.7 cm2 (~85.1% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/vivo-y04.jpg,https://www.gsmarena.com/vivo_y19s_5g-14276.php
vivo iQOO Neo11 (China),Vivo,1,Qualcomm SM8750-AC Snapdragon 8 Elite (3 nm),Adreno 830,12GB,256GB,N/A,N/A,"6.82 inches, 113.0 cm2 (~90.2% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-neo11-cn.jpg,https://www.gsmarena.com/vivo_iqoo_neo11_5g_(china)-14268.php
vivo iQOO 15,Vivo,1,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Adreno 840,12GB,256GB,N/A,N/A,"6.85 inches, 114.0 cm2 (~90.7% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-15.jpg,https://www.gsmarena.com/vivo_iqoo_15_5g-14198.php
vivo X300 Pro,Vivo,1,Mediatek Dimensity 9500 (3 nm),Arm G1-Ultra,12GB,256GB,N/A,N/A,"6.78 inches, 111.5 cm2 (~91.6% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/vivo_x300_pro_5g-14225.php
vivo X300,Vivo,1,Mediatek Dimensity 9500 (3 nm),Arm G1-Ultra,12GB,256GB,N/A,N/A,"6.31 inches, 98.0 cm2 (~90.5% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/vivo-x300.jpg,https://www.gsmarena.com/vivo_x300_5g-14224.php
vivo Pad5e,Vivo,1,Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Adreno 735,8GB,128GB,N/A,N/A,"12.1 inches, 444.4 cm2 (~86.9% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/vivo_pad5e-14226.php
Unknown,Vivo,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/vivo_watch_gt_2-14227.php
vivo V60e,Vivo,1,Mediatek Dimensity 7360 Turbo (4 nm),Mali-G615 MC2,8GB,128GB,N/A,N/A,"6.77 inches, 110.9 cm2 (~88.1% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/vivo_v60e_5g-14194.php
vivo V60 Lite,Vivo,1,Mediatek Dimensity 7360 Turbo (4 nm),Mali-G615 MC2,8GB,256GB,N/A,N/A,"6.77 inches, 110.9 cm2 (~88.7% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/vivo-v60-lite.jpg,https://www.gsmarena.com/vivo_v60_lite_5g-14180.php
vivo V60 Lite 4G,Vivo,1,Qualcomm SM6225 Snapdragon 685 (6 nm),Adreno 610,8GB,128GB,N/A,N/A,"6.77 inches, 110.9 cm2 (~88.7% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/vivo_v60_lite-14172.php
vivo Y31 Pro,Vivo,1,Mediatek Dimensity 7300 (4 nm),Mali-G615 MC2,8GB,128GB,N/A,N/A,"6.72 inches, 108.8 cm2 (~86.0% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/vivo_y31_pro_5g-14144.php
vivo Y31,Vivo,1,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Adreno 613,4GB,128GB,N/A,N/A,"6.68 inches, 107.4 cm2 (~84.0% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/vivo_y31_5g-14143.php
vivo Y500 (China),Vivo,1,Mediatek Dimensity 7300 (4 nm),Mali-G615 MC2,8GB,128GB,N/A,N/A,"6.77 inches, 110.9 cm2 (~89.6% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/vivo_y500_5g_(china)-14097.php
vivo T4 Pro,Vivo,1,Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Adreno 722,8GB,128GB,N/A,N/A,"6.77 inches, 110.9 cm2 (~88.1% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/vivo_t4_pro_5g-14095.php
Unknown,Vivo,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/vivo_v60_5g-14021.php
vivo iQOO Z10 Turbo+,Vivo,1,Mediatek Dimensity 9400+ (3 nm),Immortalis-G925,12GB,256GB,N/A,N/A,"6.78 inches, 111.0 cm2 (~89.3% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/vivo_iqoo_z10_turbo+_5g-14038.php
vivo Y19s GT,Vivo,1,Mediatek Dimensity 6300 (6 nm),Mali-G57 MC2,6GB,128GB,N/A,N/A,"6.74 inches, 109.7 cm2 (~85.1% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/vivo_y19s_gt_5g-14045.php
vivo Y400,Vivo,1,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Adreno 613,8GB,128GB,N/A,N/A,"6.67 inches, 107.4 cm2 (~87.9% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/vivo-y400-5g.jpg,https://www.gsmarena.com/vivo_y400_5g-14043.php
vivo Y400 4G,Vivo,1,Qualcomm SM6225 Snapdragon 685 (6 nm),Adreno 610,8GB,128GB,N/A,N/A,"6.67 inches, 107.4 cm2 (~87.9% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/vivo_y400-14040.php
Unknown,Infinix,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/infinix_xpad_20_pro-14116.php
Infinix Hot 60i,Infinix,1,Mediatek Dimensity 6400 (6 nm),Mali-G57 MC2,4GB,128GB,N/A,N/A,"6.75 inches, 110.0 cm2 (~84.6% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-60i-5g-official.jpg,https://www.gsmarena.com/infinix_hot_60i_5g-14072.php
Infinix GT 30,Infinix,1,Mediatek Dimensity 7400 (4 nm),Mali-G615 MC2,8GB,128GB,N/A,N/A,"6.78 inches, 111.0 cm2 (~89.4% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/infinix_gt_30_5g-14044.php
Infinix Hot 60,Infinix,1,Mediatek Dimensity 7020 (6 nm),IMG BXM-8-256,6GB,128GB,N/A,N/A,"6.7 inches, 108.4 cm2 (~85.0% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot60-5g.jpg,https://www.gsmarena.com/infinix_hot_60_5g-14006.php
Infinix Hot 60 Pro+,Infinix,1,Mediatek Helio G200 (6 nm),Mali-G57 MC2 (1.1GHz),6GB,128GB,N/A,N/A,"6.78 inches, 111.0 cm2 (~89.3% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-60-pro-plus.jpg,https://www.gsmarena.com/infinix_hot_60_pro+-14002.php
Infinix Hot 60 Pro,Infinix,1,Mediatek Helio G200 (6 nm),Mali-G57 MC2 (1.1GHz),8GB,128GB,N/A,N/A,"6.78 inches, 111.0 cm2 (~89.4% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/infinix_hot_60_pro-14003.php
Infinix Hot 60i 4G,Infinix,1,Mediatek Helio G81 Ultimate (12 nm),Mali-G52 MC2,4GB,128GB,N/A,N/A,"6.7 inches, 108.4 cm2 (~85.2% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/infinix_hot_60i-13983.php
Infinix Smart 10 HD,Infinix,1,(12 nm),Mali-G57 MC1,2GB,64GB,N/A,N/A,"6.6 inches, 104.6 cm2 (~84.6% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/infinix_smart_10_hd-13954.php
Infinix Smart 10 Plus,Infinix,1,Unisoc T7250 (12 nm),Mali-G57 MP1,4GB,128GB,N/A,N/A,"6.67 inches, 107.4 cm2 (~84.2% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/infinix_smart_10_plus-13953.php
Infinix Smart 10,Infinix,1,Unisoc T7250 (12 nm),Mali-G57 MP1,3GB,64GB,N/A,N/A,"6.67 inches, 107.4 cm2 (~84.2% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/infinix_smart_10-13933.php
Infinix Xpad 20,Infinix,1,Mediatek Helio G88 (12 nm),Mali-G52 MC2,4GB,128GB,N/A,N/A,"11.0 inches, 350.9 cm2 (~80.5% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/infinix_xpad_20-13922.php
Infinix GT 30 Pro,Infinix,1,Mediatek Dimensity 8350 Ultimate (4 nm),Mali G615-MC6,8GB,256GB,N/A,N/A,"6.78 inches, 111.0 cm2 (~89.4% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/infinix_gt_30_pro_5g-13889.php
Infinix Xpad GT,Infinix,1,Qualcomm SM8350 Snapdragon 888 5G (5 nm),Adreno 660,8GB,256GB,N/A,N/A,"13.0 inches, 494.7 cm2 (~88.7% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/infinix_xpad_gt-13890.php
Unknown,Infinix,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/infinix_note_50s_5g-13793.php
Unknown,Infinix,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/infinix_note_50x-13747.php
Infinix Note 50 Pro+,Infinix,1,Mediatek Dimensity 8350 Ultimate (4 nm),Mali G615-MC6,12GB,256GB,N/A,N/A,"6.78 inches, 109.9 cm2 (~90.3% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/infinix_note_50_pro+-13746.php
Infinix Note 50 Pro 4G,Infinix,1,Mediatek Helio G100 Ultimate (6 nm),Mali-G57 MC2,8GB,256GB,N/A,N/A,"6.78 inches, 109.9 cm2 (~90.4% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/infinix_note_50_pro_4g-13701.php
Infinix Note 50 4G,Infinix,1,Mediatek Helio G100 Ultimate (6 nm),Mali-G57 MC2,8GB,256GB,N/A,N/A,"6.78 inches, 109.9 cm2 (~90.4% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/infinix_note_50_4g-13705.php
Infinix Smart 9 HD,Infinix,1,Mediatek Helio,Mali-G57 MC1,3GB,64GB,N/A,N/A,"6.7 inches, 108.4 cm2 (~84.8% screen-to-body ratio)",2024,0,,https://www.gsmarena.com/infinix_smart_9_hd-13590.php
Infinix Hot 50 Pro 4G,Infinix,1,Mediatek Helio G100 (6 nm),Mali-G57 MC2,8GB,128GB,N/A,N/A,"6.78 inches, 109.9 cm2 (~86.1% screen-to-body ratio)",2024,0,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-50-pro-4g.jpg,https://www.gsmarena.com/infinix_hot_50_pro_4g-13461.php
